video_title,show_title,season_title,category,country_name,lifetime_duration,highest_rank
Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy,N/A,Films,United States,1,4
Angèle,Angèle,N/A,Films,France,2,8
Anna,Anna,N/A,Films,Japan,3,4
Anna,Anna,N/A,Films,Mexico,2,4
Annabelle Comes Home,Annabelle Comes Home,N/A,Films,United Kingdom,1,8
Annabelle: Creation,Annabelle: Creation,N/A,Films,United States,2,5
Anonymously Yours,Anonymously Yours,N/A,Films,Brazil,2,3
Anonymously Yours,Anonymously Yours,N/A,Films,France,1,8
Anonymously Yours,Anonymously Yours,N/A,Films,Mexico,2,2
Anything for a Pop Star,Anything for a Pop Star,N/A,Films,Brazil,1,4
Apocalypse Now Redux,Apocalypse Now Redux,N/A,Films,United States,1,5
Aquaman,Aquaman,N/A,Films,France,3,2
Aquaman,Aquaman,N/A,Films,United Kingdom,1,5
Arcane: Season 1,Arcane,Arcane: Season 1,TV,Brazil,3,2
Arcane: Season 1,Arcane,Arcane: Season 1,TV,France,4,1
Arcane: Season 1,Arcane,Arcane: Season 1,TV,Mexico,1,9
Arcane: Season 1,Arcane,Arcane: Season 1,TV,United Kingdom,1,10
Arcane: Season 1,Arcane,Arcane: Season 1,TV,United States,2,10
Archive 81: Season 1,Archive 81,Archive 81: Season 1,TV,Brazil,1,4
Archive 81: Season 1,Archive 81,Archive 81: Season 1,TV,France,3,1
Archive 81: Season 1,Archive 81,Archive 81: Season 1,TV,Mexico,2,3
Archive 81: Season 1,Archive 81,Archive 81: Season 1,TV,United Kingdom,2,4
Archive 81: Season 1,Archive 81,Archive 81: Season 1,TV,United States,3,2
Are We Done Yet?,Are We Done Yet?,N/A,Films,France,1,10
Army of the Dead,Army of the Dead,N/A,Films,Brazil,1,7
Army of the Dead,Army of the Dead,N/A,Films,France,1,5
Army of the Dead,Army of the Dead,N/A,Films,Mexico,1,8
Army of the Dead,Army of the Dead,N/A,Films,United States,1,9
Army of Thieves,Army of Thieves,N/A,Films,Brazil,3,1
Army of Thieves,Army of Thieves,N/A,Films,France,4,1
Army of Thieves,Army of Thieves,N/A,Films,Japan,3,2
Army of Thieves,Army of Thieves,N/A,Films,Mexico,3,1
Army of Thieves,Army of Thieves,N/A,Films,United Kingdom,3,2
Army of Thieves,Army of Thieves,N/A,Films,United States,3,1
Arthur and the Invisibles,Arthur and the Invisibles,N/A,Films,Brazil,1,7
"As Above, So Below","As Above, So Below",N/A,Films,Japan,1,6
As Aventuras de Poliana: Season 1,As Aventuras de Poliana,As Aventuras de Poliana: Season 1,TV,Brazil,37,4
As the Crow Flies: Season 1,As the Crow Flies,As the Crow Flies: Season 1,TV,France,1,10
Asakusa Kid,Asakusa Kid,N/A,Films,Japan,11,1
Ashes in the Snow,Ashes in the Snow,N/A,Films,Mexico,1,4
Assassination Classroom,Assassination Classroom,N/A,Films,Japan,2,2
Assassination Classroom: Graduation,Assassination Classroom: Graduation,N/A,Films,Japan,1,4
Assault on Precinct 13,Assault on Precinct 13,N/A,Films,United Kingdom,1,8
Atypical: Season 4,Atypical,Atypical: Season 4,TV,Brazil,2,9
Atypical: Season 4,Atypical,Atypical: Season 4,TV,France,1,7
Atypical: Season 4,Atypical,Atypical: Season 4,TV,United Kingdom,3,4
Atypical: Season 4,Atypical,Atypical: Season 4,TV,United States,2,6
Avalanche: Season 1,Avalanche,Avalanche: Season 1,TV,Japan,2,4
Back to 15: Season 1,Back to 15,Back to 15: Season 1,TV,Brazil,3,2
Back to 15: Season 1,Back to 15,Back to 15: Season 1,TV,France,1,6
Back to the Outback,Back to the Outback,N/A,Films,Brazil,4,2
Back to the Outback,Back to the Outback,N/A,Films,France,4,2
Back to the Outback,Back to the Outback,N/A,Films,Japan,1,5
Back to the Outback,Back to the Outback,N/A,Films,Mexico,6,2
