video_title,show_title,season_title,category,Brazil,France,Japan,Mexico,United_Kingdom,United_States
Blade: Trinity,Blade: Trinity,N/A,Films,0,0,1,0,0,1
Blasted,Blasted,N/A,Films,1,1,0,0,0,0
Blended,Blended,N/A,Films,0,1,0,0,0,0
Blind Witness,Blind Witness,N/A,Films,0,0,1,0,0,0
Blindspot: Season 1,Blindspot,Blindspot: Season 1,TV,1,0,0,0,0,0
Blindspot: Season 5,Blindspot,Blindspot: Season 5,TV,1,0,0,0,0,0
Bling Empire: Season 2,Bling Empire,Bling Empire: Season 2,TV,0,0,0,0,1,1
Blitz,Blitz,N/A,Films,0,0,0,0,1,0
Blockers,Blockers,N/A,Films,0,1,0,0,0,0
Blood & Water: Season 2,Blood & Water,Blood & Water: Season 2,TV,0,1,0,0,0,0
Blood and Money,Blood and Money,N/A,Films,1,0,0,1,0,0
Blood Red Sky,Blood Red Sky,N/A,Films,1,1,1,1,1,1
Bloodshot,Bloodshot,N/A,Films,0,0,1,0,1,0
Blow,Blow,N/A,Films,0,0,0,0,0,1
Blue Story,Blue Story,N/A,Films,0,0,0,0,1,0
"Blue, Painful, Fragile","Blue, Painful, Fragile",N/A,Films,0,0,1,0,0,0
Blumhouse's Fantasy Island,Blumhouse's Fantasy Island,N/A,Films,0,0,1,0,1,0
"Bob Ross: Happy Accidents, Betrayal & Greed","Bob Ross: Happy Accidents, Betrayal & Greed",N/A,Films,0,0,0,0,0,1
Body Cam,Body Cam,N/A,Films,1,0,0,1,0,0
Body of Lies,Body of Lies,N/A,Films,0,0,0,0,1,0
Bohemian Rhapsody,Bohemian Rhapsody,N/A,Films,0,0,1,1,1,0
Boiling Point,Boiling Point,N/A,Films,0,0,0,0,1,0
Bordertown: Mural Murders,Bordertown: Mural Murders,N/A,Films,0,1,0,0,0,0
Borrego,Borrego,N/A,Films,0,0,0,0,0,1
Boruto: Naruto Next Generations: Season 1,Boruto: Naruto Next Generations,Boruto: Naruto Next Generations: Season 1,TV,1,0,0,1,0,0
Boruto: Naruto Next Generations: Season 2,Boruto: Naruto Next Generations,Boruto: Naruto Next Generations: Season 2,TV,1,0,0,0,0,0
Brahms: The Boy II,Brahms: The Boy II,N/A,Films,0,0,0,0,1,1
Brand New Cherry Flavor: Limited Series,Brand New Cherry Flavor,Brand New Cherry Flavor: Limited Series,TV,0,0,0,0,1,0
Brazen,Brazen,N/A,Films,1,1,0,1,1,1
Bride Wars,Bride Wars,N/A,Films,0,0,0,1,0,0
Bridgerton: Season 1,Bridgerton,Bridgerton: Season 1,TV,1,1,0,1,1,1
Bridgerton: Season 2,Bridgerton,Bridgerton: Season 2,TV,1,1,1,1,1,1
Bridget Jones's Baby,Bridget Jones's Baby,N/A,Films,0,0,0,0,1,0
Brightburn,Brightburn,N/A,Films,1,1,0,1,0,0
Britney Vs Spears,Britney Vs Spears,N/A,Films,0,1,0,0,1,1
Brooklyn Nine-Nine: Season 7,Brooklyn Nine-Nine,Brooklyn Nine-Nine: Season 7,TV,1,0,0,0,0,0
Brotherhood: Season 1,Brotherhood,Brotherhood: Season 1,TV,1,0,0,0,0,0
Brotherhood: Season 2,Brotherhood,Brotherhood: Season 2,TV,1,0,0,0,0,0
Brothers in Brothel,Brothers in Brothel,N/A,Films,0,0,1,0,0,0
Bruised,Bruised,N/A,Films,1,1,0,1,1,1
Bubble,Bubble,N/A,Films,0,1,1,0,0,0
Budapest,Budapest,N/A,Films,0,1,0,0,0,0
Bullsh*t The Gameshow: Season 1,Bullsh*t The Gameshow,Bullsh*t The Gameshow: Season 1,TV,0,0,0,0,0,1
Bumblebee,Bumblebee,N/A,Films,1,0,0,0,0,0
Burnt,Burnt,N/A,Films,0,0,0,0,1,0
Business Proposal: Season 1,Business Proposal,Business Proposal: Season 1,TV,1,0,1,1,0,0
Café con aroma de mujer: Season 1,Café con aroma de mujer,Café con aroma de mujer: Season 1,TV,1,0,0,1,0,0
Can You Keep a Secret?,Can You Keep a Secret?,N/A,Films,0,0,0,0,0,1
Captain Nova,Captain Nova,N/A,Films,1,0,0,0,0,0
Car Masters: Rust to Riches: Season 3,Car Masters: Rust to Riches,Car Masters: Rust to Riches: Season 3,TV,0,0,0,0,1,0
Carbon,Carbon,N/A,Films,0,1,0,0,0,0
Carinha de Anjo: Season 1,Carinha de Anjo,Carinha de Anjo: Season 1,TV,1,0,0,0,0,0
Carriers,Carriers,N/A,Films,0,0,0,0,1,0
Carrossel,Carrossel,N/A,TV,1,0,0,0,0,0
Case 39,Case 39,N/A,Films,0,0,0,0,1,0
Catch and Release,Catch and Release,N/A,Films,0,0,0,0,0,1
Catching Killers: Season 1,Catching Killers,Catching Killers: Season 1,TV,0,0,0,0,1,0
Catching Killers: Season 2,Catching Killers,Catching Killers: Season 2,TV,0,0,0,0,1,1
Celebrity Ex on the Beach: Season 1,Celebrity Ex on the Beach,Celebrity Ex on the Beach: Season 1,TV,0,0,0,0,1,0
Centauro,Centauro,N/A,Films,1,1,0,0,0,0
Central Intelligence,Central Intelligence,N/A,Films,1,1,1,1,0,0
Chaos,Chaos,N/A,Films,0,0,0,0,1,0
Chaos Walking,Chaos Walking,N/A,Films,0,0,0,0,1,0
Chappie,Chappie,N/A,Films,0,1,0,0,0,0
Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,N/A,Films,0,0,1,0,0,1
Charlie's Angels,Charlie's Angels,N/A,Films,0,0,1,0,1,0
Charlotte's Web,Charlotte's Web,N/A,Films,1,0,0,1,0,0
Cheer: Season 2,Cheer,Cheer: Season 2,TV,0,0,0,0,1,1
Chernobyl 1986,Chernobyl 1986,N/A,Films,0,0,0,1,1,0
Chicago Fire: Season 1,Chicago Fire,Chicago Fire: Season 1,TV,0,0,0,0,1,0
Chicago Med: Season 1,Chicago Med,Chicago Med: Season 1,TV,0,0,0,0,1,0
Chicken Run,Chicken Run,N/A,Films,0,0,0,0,1,0
Chickenhare and the Hamster of Darkness,Chickenhare and the Hamster of Darkness,N/A,Films,1,0,0,1,1,1
Child of Kamiari Month,Child of Kamiari Month,N/A,Films,0,0,1,0,0,0
Chiquititas,Chiquititas,N/A,TV,1,0,0,0,0,0
Choose or Die,Choose or Die,N/A,Films,1,1,1,1,1,1
Christmas Flow: Season 1,Christmas Flow,Christmas Flow: Season 1,TV,0,1,0,0,0,0
City of Ember,City of Ember,N/A,Films,0,0,0,0,1,0
Clark: Limited Series,Clark,Clark: Limited Series,TV,0,1,0,0,0,0
Clash of the Titans,Clash of the Titans,N/A,Films,1,0,0,1,0,0
Cleaner,Cleaner,N/A,Films,0,0,0,0,0,1
