video_title,neg_sentiment_us,neu_sentiment_us,pos_sentiment_us
The Bubble,12,29,25
The Bureau of Magical Things: Season 1,0,1,0
The Call,2,27,8
The Chair: Season 1,38,76,74
The Christmas Chronicles,0,3,3
The Christmas Chronicles: Part Two,0,1,0
The Circle: Season 3,322,299,229
The Circle: Season 4,321,299,229
The Cook of Castamar: Season 1,5,4,2
The Cuphead Show!: Season 1,2,14,13
The DUFF,1,2,2
The Five Juanas: Season 1,2,9,1
The Flash: Season 7,409,863,420
The Forgotten Battle,0,3,1
The Gentlemen,2,5,7
The God Committee,2,3,3
The Green Mile,3,9,7
The Guilty,44,92,54
The Hangover,2,24,7
The Harder They Fall,174,560,587
The Holiday,3,12,18
The Hurt Locker,0,3,2
The Ice Road,2,7,4
The Karate Kid,1,26,28
The Kissing Booth 3,9,23,8
The Last Kingdom: Season 1,39,61,75
The Last Kingdom: Season 5,39,61,75
The Last Letter From Your Lover,0,6,12
The Last Mercenary,0,6,3
The Lincoln Lawyer: Season 1,9,49,48
The Longest Yard,0,10,4
The Losers,4,4,3
The Lost Daughter,22,54,58
The Loud House Movie,1,48,52
The Lucky One,0,3,2
The Man from Toronto,6,16,22
The Marked Heart: Season 1,0,2,3
The Mist,10,12,6
The Mitchells vs. The Machines,7,31,46
The Mystery of Marilyn Monroe: The Unheard Tapes,1,0,0
The Net,0,4,2
The Old Ways,4,8,1
The Other Guys,2,15,10
The Paper Tigers,0,3,8
The Power of the Dog,21,150,129
The Princess Switch 3: Romancing the Star,0,0,1
The Queen of Flow: Season 2,2,2,3
The Royal Treatment,0,2,6
The Seven Deadly Sins: Dragon's Judgement,6,5,2
The Shack,3,8,7
The Silent Sea: Season 1,11,16,13
The Snitch Cartel: Origins: Season 1,0,1,0
The Starling,0,8,19
The Takedown,0,2,2
The Thundermans: Season 1,0,2,0
The Thundermans: Season 2,0,2,0
The Tinder Swindler,88,78,25
The Town,7,111,81
The Trip,2,17,13
The Twilight Saga: Breaking Dawn: Part 1,0,0,1
The Twilight Saga: Breaking Dawn: Part 2,0,0,1
The Twilight Saga: Eclipse,0,0,1
The Twilight Saga: New Moon,0,0,1
The Ultimatum: Marry or Move On: Season 1,11,8,0
The Umbrella Academy: Season 1,70,142,77
The Umbrella Academy: Season 3,70,142,76
The Unforgivable,43,64,50
The Vault,2,23,16
The Walking Dead: Season 10,603,1054,483
The Water Man,0,0,1
The Weekend Away,13,12,10
The Witcher: Nightmare of the Wolf,2,12,6
The Witcher: Season 1,111,423,281
The Witcher: Season 2,111,423,281
The Woman in the House Across the Street from the Girl in the Window: Season 1,55,57,37
There's Someone Inside Your House,11,21,13
Through My Window,0,4,0
