video_title,category,country_name,lifetime_duration,tweetvol,tweetsent,individualism,uncertainty_avoidance,neg_sentiment,neu_sentiment,pos_sentiment,averageRating,sequel,Drama,Horror,Mystery,Action,Adventure,Comedy,Romance,Thriller,Crime,Animation,highest_rank
That's My Boy,Films,United States,1,164,20.25,91,46,4,79,81,5.5,0,0,0,0,0,0,1,0,0,0,0,9
The 100: Season 7,TV,Brazil,2,162,0.76,38,76,50,74,38,7.6,1,1,0,1,0,0,0,0,0,0,0,4
The 100: Season 7,TV,Mexico,2,6,4,30,82,1,1,4,7.6,1,1,0,1,0,0,0,0,0,0,0,5
The Adam Project,Films,Brazil,4,17,11,38,76,1,5,11,6.7,0,0,0,0,1,1,1,0,0,0,0,1
The Adam Project,Films,Japan,3,4,2,46,92,1,1,2,6.7,0,0,0,0,1,1,1,0,0,0,0,1
The Adam Project,Films,Mexico,4,26,2.6,30,82,5,8,13,6.7,0,0,0,0,1,1,1,0,0,0,0,1
The Adam Project,Films,United Kingdom,8,96,15.25,89,35,4,31,61,6.7,0,0,0,0,1,1,1,0,0,0,0,1
The Adam Project,Films,United States,8,446,10.2,91,46,25,159,255,6.7,0,0,0,0,1,1,1,0,0,0,0,1
The Addams Family,Films,United Kingdom,3,30,7.5,89,35,2,13,15,5.8,0,0,0,0,0,0,1,0,0,0,1,4
The Amazing Spider-Man,Films,United States,3,119,3,91,46,9,82,27,6.9,1,0,0,0,1,1,0,0,0,0,0,1
The Amazing Spider-Man 2,Films,Mexico,1,3,1,30,82,1,1,1,6.6,1,0,0,0,1,1,0,0,0,0,0,8
The Amazing Spider-Man 2,Films,United Kingdom,3,8,1.5,89,35,2,3,3,6.6,1,0,0,0,1,1,0,0,0,0,0,4
The Best of Enemies,Films,United States,1,13,7,91,46,1,5,7,7.3,0,1,0,0,0,0,0,0,0,0,0,8
The Blacklist: Season 8,TV,Brazil,2,166,1.375,38,76,16,128,22,8,1,1,0,1,0,0,0,0,0,1,0,5
The Blacklist: Season 8,TV,United States,2,328,0.5035971223021583,91,46,139,117,70,8,1,1,0,1,0,0,0,0,0,1,0,5
The Blind Side,Films,United Kingdom,1,6,5,89,35,1,0,5,7.6,0,1,0,0,0,0,0,0,0,0,0,7
The Blind Side,Films,United States,4,38,4,91,46,5,13,20,7.6,0,1,0,0,0,0,0,0,0,0,0,1
The Bubble,Films,United Kingdom,2,26,3.25,89,35,4,9,13,4.7,0,0,0,0,0,0,1,0,0,0,0,6
The Bubble,Films,United States,2,66,2.0833333333333335,91,46,12,29,25,4.7,0,0,0,0,0,0,1,0,0,0,0,5
The Call,Films,United States,1,37,4,91,46,2,27,8,7.1,0,0,1,1,0,0,0,0,0,1,0,1
The Chair: Season 1,TV,United Kingdom,1,41,3.3333333333333335,89,35,6,15,20,7.2,0,1,0,0,0,0,1,0,0,0,0,4
The Chair: Season 1,TV,United States,1,188,1.9473684210526316,91,46,38,76,74,7.2,0,1,0,0,0,0,1,0,0,0,0,9
The Chestnut Man: Season 1,TV,United Kingdom,3,27,18,89,35,1,8,18,7.7,1,1,0,1,0,0,0,0,0,1,0,7
The Circle: Season 3,TV,United States,4,850,0.7111801242236024,91,46,322,299,229,7.3,1,0,0,0,0,0,0,0,0,0,0,4
The Circle: Season 4,TV,United Kingdom,1,32,0.8461538461538461,89,35,13,8,11,7.3,1,0,0,0,0,0,0,0,0,0,0,8
The Circle: Season 4,TV,United States,4,850,0.7133956386292835,91,46,321,299,229,7.3,1,0,0,0,0,0,0,0,0,0,0,3
The Cook of Castamar: Season 1,TV,United States,2,11,0.4,91,46,5,4,2,7.4,0,1,0,0,0,0,0,1,0,0,0,8
The Cuphead Show!: Season 1,TV,United Kingdom,1,6,1,89,35,2,2,2,7.4,1,0,0,0,1,1,0,0,0,0,1,10
The Cuphead Show!: Season 1,TV,United States,2,29,6.5,91,46,2,14,13,7.4,1,0,0,0,1,1,0,0,0,0,1,7
The Deceived: Series 1,TV,United Kingdom,1,4,3,89,35,1,0,3,5.9,0,1,0,1,0,0,0,0,1,0,0,4
The DUFF,Films,United States,2,5,2,91,46,1,2,2,6.4,0,0,0,0,0,0,1,1,0,0,0,4
The Five Juanas: Season 1,TV,United States,2,12,0.5,91,46,2,9,1,6.9,1,1,0,0,0,0,0,0,0,0,0,6
The Flash: Season 6,TV,France,3,44,0.875,71,86,8,29,7,7.5,1,1,0,0,1,1,0,0,0,0,0,5
The Flash: Season 7,TV,Brazil,1,245,0.8823529411764706,38,76,34,181,30,7.5,1,1,0,0,1,1,0,0,0,0,0,6
The Flash: Season 7,TV,United States,2,1714,1.0268948655256724,91,46,409,863,420,7.5,1,1,0,0,1,1,0,0,0,0,0,9
The Gentlemen,Films,United Kingdom,4,24,7.5,89,35,2,7,15,7.8,0,0,0,0,1,0,1,0,0,1,0,1
The Gentlemen,Films,United States,1,14,3.5,91,46,2,5,7,7.8,0,0,0,0,1,0,1,0,0,1,0,1
The God Committee,Films,United States,1,8,1.5,91,46,2,3,3,5.8,0,1,0,0,0,0,0,0,0,0,0,10
The Good Doctor: Season 1,TV,France,4,12,7,71,86,1,4,7,8.1,1,1,0,0,0,0,0,0,0,0,0,2
The Good Doctor: Season 2,TV,France,2,12,7,71,86,1,4,7,8.1,1,1,0,0,0,0,0,0,0,0,0,8
The Green Mile,Films,United States,1,19,2.3333333333333335,91,46,3,9,7,8.6,0,1,0,0,0,0,0,0,0,1,0,9
The Guilty,Films,Mexico,2,9,3,30,82,1,5,3,6.3,0,1,0,0,0,0,0,0,1,1,0,1
The Guilty,Films,United Kingdom,3,36,1.3333333333333333,89,35,9,15,12,6.3,0,1,0,0,0,0,0,0,1,1,0,1
The Guilty,Films,United States,3,191,1.2272727272727273,91,46,44,92,54,6.3,0,1,0,0,0,0,0,0,1,1,0,1
The Hangover,Films,United States,2,33,3.5,91,46,2,24,7,7.7,1,0,0,0,0,0,1,0,0,0,0,5
The Harder They Fall,Films,Brazil,3,28,6.5,38,76,2,13,13,6.6,0,1,0,0,1,0,0,0,0,0,0,2
