video_title,tweetvol,country_name
Valeria: Season 2,15,Brazil
Van Helsing: Season 5,28,Brazil
Venom,308,Brazil
Vikings: Valhalla: Season 1,70,Brazil
Virgin River: Season 3,85,Brazil
Vivo,283,Brazil
Warcraft,50,Brazil
Welcome to Eden: Season 1,3,Brazil
What Men Want,1,Brazil
Yakuza Princess,1,Brazil
Yara,8,Brazil
You: Season 1,227,Brazil
You: Season 2,227,Brazil
You: Season 3,227,Brazil
